73
4 (20, 16)
Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.9, 0.999)
    eps: 1e-08
    lr: 0.0003
    weight_decay: 0
)
Model initialization complete.
Training START
-len(train_loader)- 8007
iter 100:, hard_loss_metric=0.67741048, full_loss_metric=0.22981611, full_loss_num=1003664.18750000, mean_dist=0.46968567, cse_loss_num=nan, lr=0.000300, hard or full='full', correct=0.171

iter 200:, hard_loss_metric=0.68143988, full_loss_metric=0.21289043, full_loss_num=768557.81250000, mean_dist=0.66887808, cse_loss_num=nan, lr=0.000300, hard or full='full', correct=0.266

iter 300:, hard_loss_metric=0.69568652, full_loss_metric=0.21051373, full_loss_num=632034.18750000, mean_dist=0.81900126, cse_loss_num=nan, lr=0.000300, hard or full='full', correct=0.323

iter 400:, hard_loss_metric=0.70512146, full_loss_metric=0.20995282, full_loss_num=562714.25000000, mean_dist=0.92037153, cse_loss_num=nan, lr=0.000300, hard or full='full', correct=0.401

iter 500:, hard_loss_metric=0.71738935, full_loss_metric=0.21141347, full_loss_num=507305.25000000, mean_dist=1.01537478, cse_loss_num=nan, lr=0.000300, hard or full='full', correct=0.440

iter 600:, hard_loss_metric=0.72120786, full_loss_metric=0.21074371, full_loss_num=466789.56250000, mean_dist=1.09217799, cse_loss_num=nan, lr=0.000300, hard or full='full', correct=0.478

iter 700:, hard_loss_metric=0.72154176, full_loss_metric=0.21051769, full_loss_num=430587.53125000, mean_dist=1.16100681, cse_loss_num=nan, lr=0.000300, hard or full='full', correct=0.526

iter 800:, hard_loss_metric=0.72514510, full_loss_metric=0.21127528, full_loss_num=405236.18750000, mean_dist=1.22109067, cse_loss_num=nan, lr=0.000300, hard or full='full', correct=0.561

iter 900:, hard_loss_metric=0.72908103, full_loss_metric=0.21130884, full_loss_num=382702.40625000, mean_dist=1.27568042, cse_loss_num=nan, lr=0.000300, hard or full='full', correct=0.586

0:21:50.627369
iter 1000:, hard_loss_metric=0.73192596, full_loss_metric=0.21132876, full_loss_num=368347.53125000, mean_dist=1.31964672, cse_loss_num=nan, lr=0.000300, hard or full='full', correct=0.604

iter 1100:, hard_loss_metric=0.73325121, full_loss_metric=0.21196951, full_loss_num=347389.15625000, mean_dist=1.37853789, cse_loss_num=nan, lr=0.000300, hard or full='full', correct=0.638

iter 1200:, hard_loss_metric=0.73488599, full_loss_metric=0.21232757, full_loss_num=332169.12500000, mean_dist=1.42328751, cse_loss_num=nan, lr=0.000300, hard or full='full', correct=0.654

iter 1300:, hard_loss_metric=0.73795050, full_loss_metric=0.21269803, full_loss_num=316500.09375000, mean_dist=1.46359074, cse_loss_num=nan, lr=0.000300, hard or full='full', correct=0.672

iter 1400:, hard_loss_metric=0.73973268, full_loss_metric=0.21307164, full_loss_num=310460.28125000, mean_dist=1.49937642, cse_loss_num=nan, lr=0.000300, hard or full='full', correct=0.684

iter 1500:, hard_loss_metric=0.73689795, full_loss_metric=0.21261188, full_loss_num=292335.78125000, mean_dist=1.54324543, cse_loss_num=nan, lr=0.000300, hard or full='full', correct=0.713

iter 1600:, hard_loss_metric=0.73811895, full_loss_metric=0.21332334, full_loss_num=284991.53125000, mean_dist=1.58107531, cse_loss_num=nan, lr=0.000300, hard or full='full', correct=0.710

iter 1700:, hard_loss_metric=0.73777872, full_loss_metric=0.21273781, full_loss_num=279526.90625000, mean_dist=1.60699630, cse_loss_num=nan, lr=0.000300, hard or full='full', correct=0.739

iter 1800:, hard_loss_metric=0.73605913, full_loss_metric=0.21288942, full_loss_num=268405.78125000, mean_dist=1.63934398, cse_loss_num=nan, lr=0.000300, hard or full='full', correct=0.727

iter 1900:, hard_loss_metric=0.73460925, full_loss_metric=0.21346149, full_loss_num=259572.29687500, mean_dist=1.67249036, cse_loss_num=nan, lr=0.000300, hard or full='full', correct=0.740

0:21:35.843294
iter 2000:, hard_loss_metric=0.73660356, full_loss_metric=0.21345507, full_loss_num=254150.18750000, mean_dist=1.70283747, cse_loss_num=nan, lr=0.000300, hard or full='full', correct=0.733

iter 2100:, hard_loss_metric=0.73546791, full_loss_metric=0.21326837, full_loss_num=245256.70312500, mean_dist=1.73070681, cse_loss_num=nan, lr=0.000300, hard or full='full', correct=0.759

iter 2200:, hard_loss_metric=0.73639619, full_loss_metric=0.21352877, full_loss_num=241870.42187500, mean_dist=1.75563383, cse_loss_num=nan, lr=0.000300, hard or full='full', correct=0.759

iter 2300:, hard_loss_metric=0.73222506, full_loss_metric=0.21329603, full_loss_num=234605.26562500, mean_dist=1.78391492, cse_loss_num=nan, lr=0.000300, hard or full='full', correct=0.773

iter 2400:, hard_loss_metric=0.73052633, full_loss_metric=0.21327136, full_loss_num=229772.35937500, mean_dist=1.81029880, cse_loss_num=nan, lr=0.000300, hard or full='full', correct=0.771

iter 2500:, hard_loss_metric=0.73078948, full_loss_metric=0.21294336, full_loss_num=224534.45312500, mean_dist=1.82685781, cse_loss_num=nan, lr=0.000300, hard or full='full', correct=0.768

iter 2600:, hard_loss_metric=0.72787529, full_loss_metric=0.21344568, full_loss_num=215201.14062500, mean_dist=1.86458957, cse_loss_num=nan, lr=0.000300, hard or full='full', correct=0.770

iter 2700:, hard_loss_metric=0.72949809, full_loss_metric=0.21354648, full_loss_num=214845.78125000, mean_dist=1.87255824, cse_loss_num=nan, lr=0.000300, hard or full='full', correct=0.777

iter 2800:, hard_loss_metric=0.73044640, full_loss_metric=0.21430349, full_loss_num=214375.18750000, mean_dist=1.89390504, cse_loss_num=nan, lr=0.000300, hard or full='full', correct=0.786

iter 2900:, hard_loss_metric=0.72609365, full_loss_metric=0.21357609, full_loss_num=204158.29687500, mean_dist=1.91813505, cse_loss_num=nan, lr=0.000300, hard or full='full', correct=0.790

0:21:37.463273
iter 3000:, hard_loss_metric=0.72491419, full_loss_metric=0.21370007, full_loss_num=202981.37500000, mean_dist=1.93590772, cse_loss_num=nan, lr=0.000300, hard or full='full', correct=0.795

iter 3100:, hard_loss_metric=0.72647458, full_loss_metric=0.21385054, full_loss_num=201371.31250000, mean_dist=1.94709134, cse_loss_num=nan, lr=0.000300, hard or full='full', correct=0.793

iter 3200:, hard_loss_metric=0.72198123, full_loss_metric=0.21298927, full_loss_num=198405.12500000, mean_dist=1.96551192, cse_loss_num=nan, lr=0.000300, hard or full='full', correct=0.794

iter 3300:, hard_loss_metric=0.72125763, full_loss_metric=0.21391541, full_loss_num=192469.23437500, mean_dist=1.99633801, cse_loss_num=nan, lr=0.000300, hard or full='full', correct=0.800

iter 3400:, hard_loss_metric=0.72121102, full_loss_metric=0.21400431, full_loss_num=189909.07812500, mean_dist=2.01020265, cse_loss_num=nan, lr=0.000300, hard or full='full', correct=0.809

iter 3500:, hard_loss_metric=0.71985000, full_loss_metric=0.21406059, full_loss_num=182864.07812500, mean_dist=2.03743935, cse_loss_num=nan, lr=0.000300, hard or full='full', correct=0.803

iter 3600:, hard_loss_metric=0.71607649, full_loss_metric=0.21349934, full_loss_num=179831.51562500, mean_dist=2.05190253, cse_loss_num=nan, lr=0.000300, hard or full='full', correct=0.803

iter 3700:, hard_loss_metric=0.71336675, full_loss_metric=0.21353917, full_loss_num=179004.87500000, mean_dist=2.05781364, cse_loss_num=nan, lr=0.000300, hard or full='full', correct=0.807

iter 3800:, hard_loss_metric=0.71556032, full_loss_metric=0.21379438, full_loss_num=177086.43750000, mean_dist=2.07544136, cse_loss_num=nan, lr=0.000300, hard or full='full', correct=0.805

iter 3900:, hard_loss_metric=0.71401793, full_loss_metric=0.21358597, full_loss_num=175239.50000000, mean_dist=2.09006357, cse_loss_num=nan, lr=0.000300, hard or full='full', correct=0.814

0:21:42.937527
